classe,page,de,en
9,158,"wahr, richtig",true
9,158,lächeln,(to) smile
9,158,erstaunlich; großartig,amazing
9,158,jm. ist dran / an der Reihe (etwas zu tun),it is sb.’s turn (to do sth.)
9,158,wie man etwas tut / tun kann / tun soll,how to do sth.
9,158,die Wassermelone,watermelon
9,158,die Kartoffel,"potato, pl potatoes"
9,158,beschreiben,(to) describe
9,158,"erforschen, untersuchen, recherchieren",(to) research
9,158,kochen (in Wasser); sieden,(to) boil
9,158,"die Einführung, die Einleitung",introduction
9,158,die Anweisung,instruction
9,158,"klar, deutlich",clear
9,158,"am Meer, an der See",at the seaside
9,158,die Türkei,Turkey
9,158,Berg,mountain
9,158,Meer,sea
9,158,Stadion,stadium
9,158,Schwimmbad,swimming pool
9,158,Spanien,Spain
9,158,Wetter,weather
9,158,vorige / letzte Woche,last week
9,158,"Schön, wieder zusammenzusein.",Nice to be together again.
9,158,"Gib mir fünf! (Aufforderung, gegen die erhobene Hand des Gegenübers zu klatschen, Geste der Freude/Begrüßung)",Give me five!
9,158,geben,give
9,158,gehen: ich ging/fuhr; ich bin gegangen/gefahren,go: I went
9,158,bleiben: ich blieb/ich bin geblieben,stay: I stayed
9,158,Leute (als Anrede verwendet),guys
9,158,gestern,yesterday
9,158,"lesen: ich las, ich habe gelesen",read: I read
9,158,"die USA, die Vereinigten Staaten",the US (= the United States)
9,158,wir hatten kein/keine …,we didn’t have a …
9,158,"einfach, leicht",easy
9,158,wir hatten; wir haben gehabt,have: we had
9,158,sie waren nicht …,they weren’t …
9,158,"streng, strikt",strict
9,158,allein(e),alone
9,158,"mittags, zur Mittagszeit",at lunchtime
9,158,ich würde/möchte gern mitmachen,I’d like to (= I would like to) join
9,158,mitmachen (bei); (einen Klub) beitreten,join
9,158,Jahr(gang),year
9,158,Abenteuer,adventure
